Column1,match,Team,bowlerName,overs.1,overs.2,maiden,runs,wickets,economy,zeros,fours,sixes,wides,noBalls,match_id,Balls
0,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,24
1,Namibia Vs Sri Lanka,Sri Lanka,Dushmantha Chameera,4,0,0,39,1,9.75,6,3,1,2,0,T20I # 1823,24
2,Namibia Vs Sri Lanka,Sri Lanka,Pramod Madushan,4,0,0,37,2,9.25,6,3,1,0,0,T20I # 1823,24
3,Namibia Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,4,0,0,36,1,9,7,3,1,1,0,T20I # 1823,24
4,Namibia Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga de Silva,4,0,0,27,1,6.75,8,1,1,0,0,T20I # 1823,24
5,Namibia Vs Sri Lanka,Namibia,Gerhard Erasmus,1,0,0,8,0,8,1,1,0,0,0,T20I # 1823,6
6,Namibia Vs Sri Lanka,Namibia,David Wiese,4,0,0,16,2,4,13,1,0,0,0,T20I # 1823,24
7,Namibia Vs Sri Lanka,Namibia,Bernard Scholtz,4,0,0,18,2,4.5,10,1,0,0,0,T20I # 1823,24
8,Namibia Vs Sri Lanka,Namibia,Ben Shikongo,3,0,1,22,2,7.33,6,3,0,0,0,T20I # 1823,18
9,Namibia Vs Sri Lanka,Namibia,JJ Smit,3,0,0,16,1,5.33,7,0,0,1,0,T20I # 1823,18
10,Namibia Vs Sri Lanka,Namibia,Jan Frylinck,4,0,0,26,2,6.5,10,0,2,1,0,T20I # 1823,24
11,U.A.E. Vs Netherlands,Netherlands,Fred Klaassen,4,0,0,13,2,3.25,18,0,0,3,0,T20I # 1825,24
12,U.A.E. Vs Netherlands,Netherlands,Tim Pringle,4,0,0,13,1,3.25,11,0,0,0,0,T20I # 1825,24
13,U.A.E. Vs Netherlands,Netherlands,Logan van Beek,2,0,0,19,0,9.5,5,0,2,1,0,T20I # 1825,12
14,U.A.E. Vs Netherlands,Netherlands,Bas de Leede,3,0,0,19,3,6.33,9,2,0,2,0,T20I # 1825,18
15,U.A.E. Vs Netherlands,Netherlands,Paul van Meekeren,4,0,0,21,0,5.25,11,1,0,0,0,T20I # 1825,24
16,U.A.E. Vs Netherlands,Netherlands,Roelof van der Merwe,3,0,0,19,1,6.33,7,0,1,0,0,T20I # 1825,18
17,U.A.E. Vs Netherlands,U.A.E.,Junaid Siddique,4,0,0,24,3,6,10,2,0,1,0,T20I # 1825,24
18,U.A.E. Vs Netherlands,U.A.E.,Basil Hameed,1,0,0,7,1,7,4,0,1,0,0,T20I # 1825,6
19,U.A.E. Vs Netherlands,U.A.E.,Aayan Afzal Khan,3,0,0,15,1,5,8,1,0,0,0,T20I # 1825,18
20,U.A.E. Vs Netherlands,U.A.E.,Karthik Meiyappan,4,0,0,22,1,5.5,11,2,0,0,0,T20I # 1825,24
21,U.A.E. Vs Netherlands,U.A.E.,Zahoor Khan,4,0,0,11,1,2.75,14,0,0,0,0,T20I # 1825,24
22,U.A.E. Vs Netherlands,U.A.E.,Zawar Farid,2,5,0,24,0,8.47,2,2,0,0,0,T20I # 1825,17
23,U.A.E. Vs Netherlands,U.A.E.,Kashif Daud,1,0,0,5,0,5,1,0,0,0,0,T20I # 1825,6
24,Scotland Vs West Indies,West Indies,Kyle Mayers,2,0,0,24,0,12,5,5,0,2,0,T20I # 1826,12
25,Scotland Vs West Indies,West Indies,Akeal Hosein,4,0,0,31,0,7.75,8,2,1,0,0,T20I # 1826,24
26,Scotland Vs West Indies,West Indies,Alzarri Joseph,4,0,0,28,2,7,9,3,0,2,0,T20I # 1826,24
27,Scotland Vs West Indies,West Indies,Obed McCoy,3,0,0,25,0,8.33,6,4,0,0,0,T20I # 1826,18
